"id","date","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","yr_built","zipcode","lat","long"
"2911700020","20140721T000000","  1,476,000 ","3","2.25","4470","22518","2","No","Average","Average","9","1953","98006","47.574","-122.18"
"4139910180","20150114T000000","  1,475,000 ","5","4","4770","31570","2","No","No View","Average","12","1990","98006","47.5468","-122.123"
"4217401365","20141210T000000","  1,475,000 ","5","3.25","3680","10300","1.5","No","No View","Good","10","1927","98105","47.6548","-122.28"
"1118001360","20150218T000000","  1,475,000 ","3","2.75","3910","7080","1","No","No View","Very Good","9","1949","98112","47.6324","-122.289"
"5317100530","20140827T000000","  1,475,000 ","4","3","3050","6179","2","No","No View","Good","9","1926","98112","47.6253","-122.284"
"6762700515","20150421T000000","  1,475,000 ","3","2.5","2570","5000","2","No","No View","Average","11","1984","98102","47.6295","-122.32"
"6645900010","20141120T000000","  1,470,000 ","4","2.5","3030","10189","1","No","No View","Average","9","2003","98004","47.6367","-122.206"
"4139900050","20140519T000000","  1,468,000 ","4","3.25","5010","34460","2","No","No View","Average","12","1988","98006","47.5469","-122.127"
"98000150","20150102T000000","  1,465,000 ","4","4","4930","22093","2","No","Good","Average","12","2004","98075","47.5874","-121.965"
"868001705","20150206T000000","  1,465,000 ","3","1.5","2480","9900","2","No","Good","Average","10","1940","98177","47.7018","-122.381"
"6169900580","20140709T000000","  1,465,000 ","6","4.5","4230","6420","2","No","Good","Good","8","1916","98119","47.6301","-122.369"
"9551201240","20141030T000000","  1,465,000 ","4","2.5","2800","4000","2","No","No View","Average","9","2011","98103","47.6695","-122.339"
"1251200045","20140620T000000","  1,462,500 ","5","3.25","3840","4800","3","No","Good","Average","10","2008","98144","47.5929","-122.29"
"9197800010","20141017T000000","  1,460,000 ","4","3.5","4200","14353","2","No","Average","Average","12","1996","98040","47.5331","-122.217"
"98300230","20150428T000000","  1,459,000 ","4","4","4620","130208","2","No","No View","Average","10","2014","98024","47.5885","-121.939"
"1338800280","20140929T000000","  1,457,000 ","4","1.5","2650","6900","2","No","No View","Good","9","1909","98112","47.6275","-122.305"
"1235100328","20150225T000000","  1,454,000 ","5","4","4070","11334","2","No","No View","Average","10","2014","98033","47.6771","-122.187"
"1724069079","20150319T000000","  1,452,000 ","2","3.25","2070","3128","2","Yes","Good","Average","9","1988","98075","47.5686","-122.06"
"2625069038","20141124T000000","  1,450,000 ","4","3.5","4300","108865","2","No","No View","Average","11","2014","98074","47.6258","-122.005"
"6645950070","20150401T000000","  1,450,000 ","4","3.5","5000","38012","2","No","No View","Average","11","2004","98029","47.554","-122.036"
"4055700030","20150502T000000","  1,450,000 ","3","4.5","3970","24920","2","No","Average","Average","10","1977","98034","47.7183","-122.258"
"629800380","20141013T000000","  1,450,000 ","4","3.5","4360","24603","2","No","No View","Average","12","1998","98074","47.6035","-122.005"
"3025300225","20141031T000000","  1,450,000 ","5","2.75","3090","19865","1","No","No View","Good","9","1953","98039","47.6232","-122.235"
"4389200955","20150302T000000","  1,450,000 ","4","2.75","2750","17789","1.5","No","No View","Average","8","1914","98004","47.6141","-122.212"
"3760500455","20150224T000000","  1,450,000 ","3","3.5","4110","15720","1","No","Fair","Average","10","2000","98034","47.6996","-122.229"
"8964800695","20150327T000000","  1,450,000 ","3","1.75","2230","13529","1","No","No View","Average","9","1949","98004","47.6204","-122.217"
"7855000460","20141007T000000","  1,450,000 ","3","2.75","3940","9671","1","No","Excellent","Very Good","9","1967","98006","47.5654","-122.158"
"7324900016","20141021T000000","  1,450,000 ","5","3.5","4170","9090","2","No","No View","Average","10","2008","98004","47.5918","-122.196"
"824059324","20150325T000000","  1,450,000 ","4","3.5","3720","8301","2","No","No View","Average","10","2008","98004","47.5885","-122.199"
"4340000080","20150327T000000","  1,450,000 ","4","3.5","2820","7809","2","No","No View","Average","10","1995","98004","47.622","-122.195"
"1373800295","20141013T000000","  1,450,000 ","3","3","4380","6320","2","No","Good","Very Good","10","1952","98199","47.6452","-122.411"
"3528900330","20140707T000000","  1,450,000 ","4","3.25","3770","4103","2","No","No View","Very Good","9","1925","98109","47.641","-122.349"
"1689400375","20140805T000000","  1,450,000 ","4","3.25","3100","3900","2","No","Average","Very Good","9","1923","98109","47.6385","-122.348"
"9831200172","20150227T000000","  1,450,000 ","4","3.5","2860","2199","3","No","No View","Average","10","2013","98102","47.6262","-122.323"
"1377300005","20150401T000000","  1,445,000 ","4","3.5","3470","8580","2","No","No View","Average","11","2007","98199","47.6433","-122.403"
"6169901085","20140807T000000","  1,445,000 ","4","2.5","3200","3600","3","No","Good","Good","9","1997","98119","47.632","-122.369"
"5494000040","20141201T000000","  1,444,000 ","4","2.75","2660","9547","1","No","Fair","Average","8","1968","98004","47.616","-122.218"
"9831200520","20141006T000000","  1,443,920 ","4","3","3720","5000","2.5","No","No View","Very Good","9","1905","98102","47.6282","-122.322"
"8835900220","20140828T000000","  1,442,500 ","2","2.5","2720","16637","1","No","Good","Average","10","1953","98118","47.5499","-122.264"
"5556300076","20150423T000000","  1,442,500 ","3","2.25","2630","9705","2.5","No","Average","Good","8","1987","98052","47.6485","-122.121"
"809002680","20141014T000000","  1,440,000 ","4","1.75","2410","6000","1.5","No","No View","Average","8","1911","98109","47.6369","-122.355"
"2025049111","20140619T000000","  1,440,000 ","3","3.5","3870","3819","2","No","No View","Average","11","2002","98102","47.6452","-122.317"
"5456000025","20141201T000000","  1,438,890 ","5","3.5","3420","8000","2","No","No View","Average","10","2006","98040","47.5736","-122.212"
"1102000527","20140902T000000","  1,437,500 ","4","3.75","4410","9231","3","No","Good","Average","11","2001","98118","47.5427","-122.265"
"4139430250","20150330T000000","  1,436,000 ","4","3.5","4970","16582","2","No","Good","Good","11","1992","98006","47.5496","-122.12"
"856000985","20141106T000000","  1,430,800 ","4","2.5","2910","7364","2","No","No View","Average","10","2003","98033","47.6906","-122.213"
"9290900160","20140911T000000","  1,430,000 ","4","2.5","3380","27589","2","No","No View","Average","10","1966","98004","47.6292","-122.225"
"8964800225","20150303T000000","  1,430,000 ","3","2","1890","12017","1","No","Average","Average","8","1949","98004","47.6203","-122.21"
"868002335","20150304T000000","  1,430,000 ","3","2.75","2710","9204","1.5","No","Excellent","Average","9","1975","98177","47.7039","-122.385"
"4232900310","20141029T000000","  1,430,000 ","5","4.25","3350","3600","2","No","No View","Average","10","2014","98119","47.6351","-122.364"
"98000130","20150324T000000","  1,425,000 ","4","5","4630","24054","2","No","Good","Average","11","2005","98075","47.587","-121.966"
"1336800670","20141229T000000","  1,425,000 ","5","3","2840","6240","2","No","No View","Very Good","9","1905","98112","47.6285","-122.309"
"6819100020","20140529T000000","  1,425,000 ","4","4.25","4960","6000","2.5","No","No View","Average","11","1909","98109","47.6437","-122.356"
"4385700425","20140505T000000","  1,425,000 ","2","2.5","2220","4000","2","No","No View","Average","9","2000","98112","47.6364","-122.28"
"7419500200","20150401T000000","  1,420,000 ","5","3.25","3950","11438","2","No","Average","Average","10","2006","98033","47.6898","-122.189"
"7933250050","20141028T000000","  1,419,000 ","5","3.25","4020","4500","2","No","No View","Average","9","2010","98004","47.6349","-122.204"
"4139900120","20140605T000000","  1,415,000 ","4","5.25","4670","43950","2","No","No View","Average","12","1989","98006","47.5456","-122.126"
"4055700378","20141009T000000","  1,415,000 ","4","3.25","3600","38016","2","No","Average","Average","11","1991","98034","47.7124","-122.253"
"6613001241","20140811T000000","  1,415,000 ","4","3","3110","4408","2.5","No","Good","Good","10","1931","98105","47.6583","-122.27"
"7856400300","20140702T000000","  1,411,600 ","2","2.5","3180","9400","2","No","Excellent","Very Good","10","1985","98006","47.5617","-122.158"
"284000025","20150420T000000","  1,410,000 ","2","2","2180","18525","1","Yes","Excellent","Very Good","9","1952","98146","47.5036","-122.387"
"5427100150","20140626T000000","  1,410,000 ","4","2.25","3250","16684","2","No","No View","Average","9","1979","98039","47.6334","-122.229"
"7237550100","20140825T000000","  1,408,760 ","4","4","4920","50621","2","No","No View","Average","10","2012","98053","47.6575","-122.006"
"2524049018","20141205T000000","  1,406,890 ","5","2.25","3580","16789","2","No","No View","Very Good","9","1966","98040","47.5364","-122.239"
"3225059223","20140519T000000","  1,405,000 ","4","3.5","3410","10769","2","No","No View","Average","10","2008","98004","47.6081","-122.198"
"4054530240","20150427T000000","  1,400,000 ","4","3.5","4380","66613","1.5","No","No View","Average","11","1993","98077","47.7279","-122.048"
"3585300194","20150324T000000","  1,400,000 ","5","3.25","4140","32700","1","No","Excellent","Average","10","1973","98177","47.7633","-122.369"
"3303850290","20150409T000000","  1,400,000 ","5","4","4700","22326","2","No","No View","Average","11","2002","98006","47.5417","-122.111"
"9253900408","20150408T000000","  1,400,000 ","3","2.75","3130","19530","1","Yes","Excellent","Average","8","1947","98008","47.5895","-122.111"
"2068000270","20140805T000000","  1,400,000 ","5","3","3850","14990","1","No","No View","Good","9","1964","98004","47.6425","-122.218"
"4139480200","20141209T000000","  1,400,000 ","4","3.25","4290","12103","1","No","Good","Average","11","1997","98006","47.5503","-122.102"
"9359100750","20141031T000000","  1,400,000 ","4","4.5","3080","10550","2","No","Good","Average","8","1976","98040","47.5806","-122.244"
"1370801331","20140804T000000","  1,400,000 ","4","2.5","4040","9630","1","No","Good","Good","9","1951","98199","47.6408","-122.41"
"2102700025","20141009T000000","  1,400,000 ","5","3.25","4300","9270","2","No","Good","Average","10","1957","98116","47.5717","-122.409"
"148000475","20140528T000000","  1,400,000 ","4","3.25","4700","9160","1","No","Excellent","Average","11","2005","98116","47.5744","-122.406"
"2451000070","20150402T000000","  1,400,000 ","4","2.5","2770","8879","2","No","No View","Average","9","2001","98004","47.5831","-122.193"
"5315100277","20140513T000000","  1,400,000 ","5","4.25","3530","7924","2","No","No View","Average","10","2001","98040","47.5894","-122.243"
"328000160","20141211T000000","  1,400,000 ","5","3.75","3700","7920","3","No","Excellent","Average","9","1983","98115","47.6865","-122.266"
"1370801440","20150325T000000","  1,400,000 ","4","2.5","3520","7815","2","No","Good","Average","10","1929","98199","47.6429","-122.412"
"3931900510","20140829T000000","  1,400,000 ","4","2.5","4070","7800","3","No","No View","Good","8","2002","98115","47.6838","-122.327"
"1250203070","20140514T000000","  1,400,000 ","3","2.5","2550","7200","2","No","Average","Average","10","1981","98144","47.5996","-122.288"
"5699000070","20140528T000000","  1,400,000 ","4","3.25","2980","7000","2","No","Good","Average","10","1900","98144","47.5933","-122.292"
"1245002391","20141022T000000","  1,400,000 ","5","4.25","4230","6907","2","No","No View","Average","10","2008","98033","47.6866","-122.205"
"1118001645","20150130T000000","  1,400,000 ","3","3.25","3020","6073","2","No","No View","Good","9","1954","98112","47.6332","-122.29"
"1370800935","20140618T000000","  1,400,000 ","3","2","2020","5500","1.5","No","Good","Average","10","1937","98199","47.6388","-122.409"
"1336800880","20140822T000000","  1,400,000 ","4","2.25","3780","5160","2","No","No View","Good","9","1907","98112","47.6275","-122.308"
"4217401055","20140502T000000","  1,400,000 ","4","2.5","2920","4000","1.5","No","No View","Very Good","8","1909","98105","47.6578","-122.28"
"1692900095","20140618T000000","  1,399,950 ","4","2.75","3870","10046","2","No","No View","Average","11","2005","98033","47.6651","-122.191"
"5316100106","20141010T000000","  1,399,000 ","3","2.5","2560","3600","2","No","No View","Average","9","1967","98112","47.632","-122.279"
"2525049133","20150402T000000","  1,398,000 ","5","2.25","2640","14959","1","No","No View","Good","7","1929","98039","47.6191","-122.234"
"629000605","20150227T000000","  1,398,000 ","3","2.5","2910","10044","2","No","No View","Good","10","1989","98004","47.5845","-122.199"
"1338300180","20140729T000000","  1,395,710 ","4","2.25","3960","8640","2","No","Average","Average","9","1925","98112","47.6317","-122.304"
"1326059142","20141028T000000","  1,395,000 ","4","3","3520","128502","2","No","Average","Good","10","1981","98072","47.7448","-122.117"
"2798000020","20140815T000000","  1,395,000 ","4","3.5","3560","16782","2","No","No View","Average","10","2014","98040","47.5569","-122.225"
"723000114","20140505T000000","  1,395,000 ","5","3.5","4010","8510","2","No","Fair","Very Good","9","1971","98105","47.6578","-122.286"
"2524000050","20141212T000000","  1,393,000 ","3","3.5","4240","21578","2","No","No View","Average","10","1994","98040","47.5614","-122.215"
"3931900580","20150313T000000","  1,389,000 ","4","3.5","3130","3900","2","No","No View","Average","9","2008","98115","47.6849","-122.327"
"6448000010","20150428T000000","  1,388,000 ","4","2.25","2940","20384","2","No","No View","Good","9","1970","98004","47.6214","-122.227"
"4122900020","20140626T000000","  1,388,000 ","4","3","4040","20001","1","No","No View","Average","9","1972","98004","47.6408","-122.212"
"524059250","20140922T000000","  1,388,000 ","4","2.5","3450","17400","1.5","No","No View","Good","9","1964","98004","47.5969","-122.206"
"2566300100","20150327T000000","  1,388,000 ","5","1.75","2650","11340","1","No","No View","Average","8","1955","98004","47.626","-122.213"
"9829201020","20141118T000000","  1,388,000 ","3","1.25","2400","6653","3","No","Average","Average","11","1992","98122","47.6019","-122.29"
"2225039103","20140626T000000","  1,387,800 ","3","3","2480","5500","2","No","Good","Average","10","1950","98199","47.6466","-122.404"
"713500020","20150421T000000","  1,387,000 ","4","4.5","4490","24767","2","No","Average","Average","11","1998","98006","47.5544","-122.147"
"2579500101","20150421T000000","  1,387,000 ","4","3.5","4010","10880","2","No","Good","Good","11","1990","98040","47.5359","-122.213"
"2625069070","20150410T000000","  1,385,000 ","4","3.25","4860","181319","2.5","No","No View","Average","9","1993","98074","47.6179","-122.005"
"7856410430","20140530T000000","  1,385,000 ","6","2.75","5700","20000","1","No","Excellent","Good","10","1977","98006","47.5601","-122.16"
"5608000010","20140811T000000","  1,385,000 ","4","3.5","4010","15365","2","No","Fair","Average","11","2006","98027","47.5528","-122.093"
"3885801190","20140730T000000","  1,385,000 ","4","3.5","3230","7200","1","No","Fair","Average","10","2000","98033","47.6838","-122.212"
"5035300850","20141110T000000","  1,385,000 ","5","3.75","3290","6480","2","No","No View","Very Good","10","1938","98199","47.653","-122.415"
"3204300455","20140822T000000","  1,385,000 ","3","2.25","2930","6000","2","No","Average","Average","11","2000","98112","47.6301","-122.301"
"6169901130","20140911T000000","  1,385,000 ","3","3","2490","3600","2","No","Good","Good","8","1911","98119","47.6313","-122.369"
"4139480200","20140618T000000","  1,384,000 ","4","3.25","4290","12103","1","No","Good","Average","11","1997","98006","47.5503","-122.102"
"191100672","20140527T000000","  1,381,000 ","4","3.75","3160","9525","2.5","No","No View","Average","10","1997","98040","47.5623","-122.221"
"2524049108","20150512T000000","  1,380,000 ","5","4.25","4050","18827","1","No","Average","Good","10","1979","98040","47.5323","-122.237"
"4139500200","20150305T000000","  1,380,000 ","6","4.5","5740","10312","2","No","Average","Average","11","2000","98006","47.5533","-122.11"
"1269200229","20140723T000000","  1,379,900 ","3","3.25","3786","38038","1","Yes","Excellent","Average","9","1978","98070","47.3907","-122.448"
"7153200160","20150114T000000","  1,378,600 ","5","3.25","3450","6360","2","No","No View","Very Good","9","1905","98122","47.6133","-122.287"
"7430500110","20141209T000000","  1,378,000 ","5","3.5","5150","12230","2","No","Average","Average","10","2007","98008","47.6249","-122.09"
"1234000704","20150403T000000","  1,378,000 ","5","3.5","3680","8680","2","No","No View","Average","9","2003","98033","47.6575","-122.197"
"3627800050","20140715T000000","  1,375,000 ","5","4","3760","22763","1","No","Good","Good","11","1969","98040","47.5333","-122.22"
"1561750040","20141224T000000","  1,375,000 ","5","4.5","4350","13405","2","No","No View","Average","11","2014","98074","47.6018","-122.06"
"8964800370","20141022T000000","  1,375,000 ","3","1.5","1850","10572","1","No","No View","Good","8","1953","98004","47.6194","-122.208"
"3885804260","20141024T000000","  1,375,000 ","4","3.5","3500","9523","2","No","No View","Average","10","1996","98033","47.6848","-122.208"
"4083306045","20141029T000000","  1,375,000 ","5","3.75","3330","5042","2","No","Average","Average","9","2014","98103","47.6497","-122.339"
"9528105305","20150121T000000","  1,375,000 ","4","3.5","3130","4500","2","No","No View","Average","9","2014","98103","47.677","-122.33"
"486000520","20140606T000000","  1,370,000 ","2","2.25","2460","16940","1.5","No","Excellent","Good","9","1936","98117","47.6792","-122.404"
"9359100101","20150414T000000","  1,370,000 ","5","2.25","3510","13843","1","No","Average","Average","8","1959","98040","47.5817","-122.246"
"7855200120","20140509T000000","  1,370,000 ","4","2.75","3720","9450","1","No","Excellent","Very Good","10","1962","98006","47.5627","-122.156"
"4054500390","20141007T000000","  1,365,000 ","4","4.75","5310","57346","2","No","No View","Good","11","1989","98077","47.7285","-122.042"
"4139420430","20140611T000000","  1,365,000 ","5","3.5","4210","17258","2","No","Good","Average","12","1995","98006","47.553","-122.114"
"4217401180","20140530T000000","  1,365,000 ","3","2.5","2090","6000","1.5","No","No View","Good","9","1928","98105","47.6567","-122.281"
"1724069062","20140714T000000","  1,365,000 ","2","3.25","2700","3444","3","Yes","Good","Average","9","1990","98075","47.5684","-122.06"
"856001130","20150223T000000","  1,364,000 ","4","2.5","3560","8960","2","No","No View","Average","10","2001","98033","47.6903","-122.213"
"3536900110","20141009T000000","  1,362,500 ","3","2","2310","21318","1","No","No View","Average","10","1979","98004","47.6381","-122.224"
"1625069101","20140707T000000","  1,360,000 ","4","3","5430","108900","2","No","No View","Good","10","1987","98053","47.6582","-122.038"
"7352200100","20150224T000000","  1,360,000 ","2","1.75","2620","14138","2","Yes","Excellent","Average","8","1931","98125","47.7142","-122.277"
"6389970010","20150323T000000","  1,360,000 ","4","3.5","4120","12626","2","No","Fair","Average","11","2014","98034","47.7089","-122.245"
"3271800910","20140701T000000","  1,356,920 ","4","3.5","4270","5800","2","No","Good","Very Good","10","1937","98199","47.6474","-122.411"
"7431500341","20150424T000000","  1,355,000 ","3","2.5","3600","21399","1","No","Good","Average","9","1950","98008","47.6191","-122.099"
"9286000110","20140814T000000","  1,355,000 ","5","3.75","4960","13990","2","No","Average","Average","11","2001","98006","47.5491","-122.137"
"4039800080","20140529T000000","  1,355,000 ","5","3.5","5960","13703","2","No","Average","Average","10","1984","98008","47.6151","-122.107"
"8081020370","20140709T000000","  1,355,000 ","4","3.5","3550","11000","1","No","Average","Average","11","1999","98006","47.5506","-122.134"
"1689401230","20140625T000000","  1,355,000 ","3","1.5","2680","4775","2","No","Average","Very Good","8","1913","98109","47.6333","-122.347"
"822069112","20150423T000000","  1,350,000 ","4","4.75","5230","89298","2.5","No","No View","Average","11","2002","98038","47.4097","-122.063"
"822039084","20150311T000000","  1,350,000 ","3","2.5","2753","65005","1","Yes","Average","Very Good","9","1953","98070","47.4041","-122.451"
"1424069056","20140805T000000","  1,350,000 ","4","3.75","4100","61419","2","No","No View","Average","9","2014","98029","47.5626","-122.005"
"3401700150","20150423T000000","  1,350,000 ","5","3","5530","38816","1.5","No","Average","Average","10","1969","98072","47.7352","-122.116"
"1795800040","20140903T000000","  1,350,000 ","4","3.25","5370","20388","2","No","Excellent","Good","11","1990","98198","47.405","-122.331"
"2581300010","20140609T000000","  1,350,000 ","4","3.25","3300","15907","2","No","No View","Very Good","10","1985","98040","47.5413","-122.216"
"713500030","20140728T000000","  1,350,000 ","5","3.5","4800","14984","2","No","Average","Average","11","1998","98006","47.5543","-122.148"
"2387600010","20150303T000000","  1,350,000 ","4","3.5","4680","12495","2","No","No View","Average","10","2008","98033","47.6984","-122.206"
"8964800930","20150317T000000","  1,350,000 ","4","2","2240","10296","1","No","No View","Very Good","8","1948","98004","47.6177","-122.217"
"3625049079","20140801T000000","  1,350,000 ","3","2","2070","9600","1","No","Fair","Average","7","1946","98039","47.616","-122.239"
"191100275","20140926T000000","  1,350,000 ","4","3.5","3500","9525","2","No","No View","Average","10","1999","98040","47.5641","-122.221"
"6813600605","20150128T000000","  1,350,000 ","4","4.5","3420","7440","3","No","No View","Average","9","2014","98103","47.6875","-122.33"
"1370800940","20140721T000000","  1,350,000 ","3","2.5","2390","5500","1","No","Good","Average","9","1952","98199","47.6389","-122.409"
"9103000715","20141112T000000","  1,350,000 ","4","3.5","3600","5217","2","No","No View","Average","9","1947","98112","47.6189","-122.286"
"8712100350","20140909T000000","  1,350,000 ","4","3.25","3030","5164","1.5","No","No View","Very Good","9","1925","98112","47.6394","-122.299"
"2804600155","20150507T000000","  1,350,000 ","4","1.75","2000","3728","1.5","No","No View","Good","9","1926","98112","47.643","-122.299"
"8562720420","20150430T000000","  1,349,000 ","4","3.5","4740","8611","2","No","Good","Average","11","2006","98027","47.5375","-122.07"
"629860010","20150429T000000","  1,348,000 ","4","3.5","4640","9827","2","No","Average","Average","10","2007","98027","47.5524","-122.078"
"4151800410","20141031T000000","  1,348,000 ","5","3.25","3540","5971","1","No","Average","Average","10","2005","98033","47.6643","-122.202"
"4122900190","20140512T000000","  1,346,400 ","5","1.75","3380","20021","1","No","No View","Good","8","1963","98004","47.6395","-122.211"
"2998800110","20150325T000000","  1,345,000 ","4","3.25","3440","4920","2","No","Excellent","Average","10","2014","98116","47.5727","-122.409"
"1370803460","20140507T000000","  1,340,000 ","3","3","2960","5500","2","No","Average","Average","10","1937","98199","47.6356","-122.402"
"1251200055","20140626T000000","  1,340,000 ","4","3.5","3190","5040","2","No","Good","Average","10","2003","98144","47.5928","-122.29"
"6613000715","20140721T000000","  1,340,000 ","4","3","2760","4905","2","No","Fair","Good","9","1938","98105","47.6591","-122.27"
"7936500190","20141021T000000","  1,339,000 ","4","3.75","2130","34689","1.5","Yes","Excellent","Average","9","1955","98136","47.5489","-122.398"
"1922000070","20140609T000000","  1,339,000 ","4","2.5","4250","19387","2","No","Average","Good","9","1972","98040","47.5578","-122.212"
"3885806565","20150130T000000","  1,339,000 ","4","3.5","2980","6349","2","No","Good","Average","9","1998","98033","47.6819","-122.208"
"7781600100","20140905T000000","  1,338,750 ","3","2.75","2730","38869","1.5","Yes","Excellent","Average","9","1963","98146","47.4857","-122.361"
"1025039292","20141030T000000","  1,337,500 ","4","2.5","2900","21074","2","No","No View","Average","11","1986","98199","47.6696","-122.416"
"3324079089","20141121T000000","  1,335,000 ","4","4","5050","202554","2","No","No View","Average","10","2000","98027","47.5269","-121.922"
"7351200050","20141218T000000","  1,335,000 ","4","1.75","2300","13342","1.5","Yes","Excellent","Average","7","1934","98125","47.7308","-122.282"
"1336800010","20140613T000000","  1,335,000 ","5","2.25","4200","5800","2.5","No","No View","Good","9","1906","98112","47.6284","-122.312"
"5317100294","20141113T000000","  1,333,000 ","4","4.5","3130","5126","3","No","No View","Average","10","2014","98112","47.6239","-122.29"
"2579500181","20150407T000000","  1,330,000 ","4","3.5","3440","9776","2","No","No View","Average","10","2006","98040","47.5374","-122.216"
"6169900545","20140625T000000","  1,330,000 ","3","1.5","1940","2885","1.5","No","Average","Average","8","1900","98119","47.6308","-122.369"
"5452800310","20150420T000000","  1,328,000 ","5","3","3340","10796","1","No","Average","Average","9","1964","98040","47.5421","-122.229"
"1336800065","20150324T000000","  1,328,000 ","4","2.25","3260","4640","2","No","No View","Very Good","9","1907","98112","47.6272","-122.312"
"868002015","20150225T000000","  1,326,000 ","3","2.25","2960","8330","1","No","Good","Good","10","1953","98177","47.7035","-122.385"
"4379600030","20140729T000000","  1,325,000 ","3","3.75","6400","76665","1","No","Average","Good","10","1966","98177","47.7313","-122.37"
"9578050120","20140808T000000","  1,325,000 ","4","2.5","4010","37076","2","No","No View","Good","12","1990","98052","47.7139","-122.106"
"1802000060","20140612T000000","  1,325,000 ","5","2.25","3200","20158","1","No","No View","Average","8","1965","98004","47.6303","-122.215"
"324069112","20140617T000000","  1,325,000 ","4","4","4420","16526","2","No","No View","Average","11","2013","98075","47.5914","-122.027"
"2424059052","20140710T000000","  1,325,000 ","6","4.25","5720","10213","2","No","No View","Average","10","2004","98006","47.5464","-122.116"
"9541600110","20150430T000000","  1,325,000 ","3","2.5","3590","8400","1","No","No View","Average","9","1958","98005","47.595","-122.173"
"486000510","20140523T000000","  1,325,000 ","4","3","3370","7920","1","No","Good","Average","10","1988","98117","47.6773","-122.403"
"2125049024","20140620T000000","  1,325,000 ","4","2.25","2870","6280","1.5","No","No View","Good","9","1905","98112","47.6329","-122.31"
"7576700150","20141001T000000","  1,325,000 ","3","2.25","2360","5504","2","No","No View","Good","8","1913","98122","47.617","-122.288"
"4219400555","20141124T000000","  1,325,000 ","3","2.5","2280","5000","2","No","Good","Good","9","1926","98105","47.6574","-122.278"
"1337800665","20140811T000000","  1,325,000 ","4","3.25","2850","4800","2.5","No","No View","Very Good","10","1905","98112","47.6292","-122.312"
"1342300265","20141001T000000","  1,325,000 ","4","3.25","2470","4760","1.5","No","No View","Very Good","9","1906","98112","47.6331","-122.31"
"2883200139","20150306T000000","  1,325,000 ","4","3.5","2170","3672","2","No","No View","Average","9","1905","98115","47.6828","-122.329"
"1732800820","20140619T000000","  1,325,000 ","4","2.5","2440","3600","2.5","No","No View","Good","8","1902","98119","47.6298","-122.362"
"9301300270","20150223T000000","  1,325,000 ","3","3","3180","2758","2","No","Average","Average","11","2008","98109","47.6377","-122.342"
"7582700100","20141111T000000","  1,324,050 ","3","3.25","3440","4080","2","No","No View","Average","9","2005","98105","47.6644","-122.28"
"1438700040","20140825T000000","  1,321,620 ","5","2.75","2410","19447","2","No","Average","Average","10","1968","98040","47.5549","-122.211"
"2925059135","20150408T000000","  1,321,500 ","3","3","2230","12968","2","No","No View","Average","9","1990","98004","47.6271","-122.197"
"5556300114","20141219T000000","  1,320,000 ","3","1.75","2040","42693","1","No","Average","Average","10","1980","98052","47.6479","-122.12"
"4139900210","20140620T000000","  1,320,000 ","4","3.5","4410","36200","2","No","No View","Average","11","1989","98006","47.5487","-122.126"
